index,name,option,ss,ssn,
t17,语、数、英三科中按照最喜欢的科目,B,语、英、数,语、英、数,
t17,语、数、英三科中按照最喜欢的科目,C,数、语、英,数、语、英,
t17,语、数、英三科中按照最喜欢的科目,D,数、英、语,数、英、语,
t17,语、数、英三科中按照最喜欢的科目,E,英、数、语,英、数、语,
t17,语、数、英三科中按照最喜欢的科目,F,英、语、数,英、语、数,
t18,完成作业时习惯,A,专心致志的一鼓作气做完,专心致志的 CR 一鼓作气做完,
t18,完成作业时习惯,B,边做边玩（容易分心）,边做边玩 CR （容易分心）,
t18,完成作业时习惯,C,做完一项，休整一会儿,做完一项 CR 休整一会儿,
t18,完成作业时习惯,D,必须由家长监督才能做作业,必须由家长监督 CR 才能做作业,
t19,完成作业效率,A,快很多，正确率差别不大,快很多， CR 正确率差别不大,
t19,完成作业效率,B,慢很多，正确率差别不大,慢很多， CR 正确率差别不大,
t19,完成作业效率,C,时间、正确率都差不多(10分钟左右的差别),时间、正确率 CR 都差不多,
t19,完成作业效率,D,慢很多，正确率也不高,慢很多， CR 正确率也不高,
t20,期末作业时间,A,0.5-1小时,0.5-1小时,
t20,期末作业时间,B,80分钟至120分钟,80分钟 CR 至120分钟,
t20,期末作业时间,C,2小时至3小时,2小时至 CR 3小时,
t20,期末作业时间,D,3小时以上,3小时以上,
t21,喜欢的学科，放学后，你愿意花多长时间进行学习,A,30分钟,30分钟,
t21,喜欢的学科，放学后，你愿意花多长时间进行学习,B,1小时,1小时,
t21,喜欢的学科，放学后，你愿意花多长时间进行学习,C,1个半小时,1个半小时,
t21,喜欢的学科，放学后，你愿意花多长时间进行学习,D,2个小时,2个小时,
t22,不喜欢的学科，放学后，你能坚持多长时间,A,30分钟,30分钟,
t22,不喜欢的学科，放学后，你能坚持多长时间,B,1小时,1小时,
t22,不喜欢的学科，放学后，你能坚持多长时间,C,1个半小时,1个半小时,
t22,不喜欢的学科，放学后，你能坚持多长时间,D,一分钟都不愿,一分钟都不愿,
t23,参加了几门文化课补习,A,没有参加,没有参加,
t23,参加了几门文化课补习,B,一门,一门,
t23,参加了几门文化课补习,C,两门,两门,
t23,参加了几门文化课补习,D,三门,三门,
t23,参加了几门文化课补习,E,三门以上,三门以上,
t24,一周平均参加校外文化课补习的时间,A,0-1小时,0-1小时,
t24,一周平均参加校外文化课补习的时间,B,1.5-3,1.5-3,
t24,一周平均参加校外文化课补习的时间,C,3-5小时,3-5小时,
t24,一周平均参加校外文化课补习的时间,D,5小时以上,5小时以上,
t25,参加课外补习的原因,A,成绩不太好或者巩固课内知识,成绩不太好或 CR 巩固课内知识,
t25,参加课外补习的原因,B,扩展知识，拓展能力,扩展知识， CR 拓展能力,
t25,参加课外补习的原因,C,为考私立学校做准备,为考私立学校 CR 做准备,
t25,参加课外补习的原因,D,超前学习,超前学习,
t26,参加课外文化课补习班，你感到,A,非常反感,非常反感,
t26,参加课外文化课补习班，你感到,B,没有特别的感觉 ,没有特别 CR 的感觉 ,
t26,参加课外文化课补习班，你感到,C,很有趣，很喜欢,很有趣， CR 很喜欢,
t26,参加课外文化课补习班，你感到,D,感觉很疲惫,感觉很疲惫,
t27,补习班的作业每天会占据你多少时间,A,小于30分钟,小于30分钟,
t27,补习班的作业每天会占据你多少时间,B,0.5--1小时,0.5--1小时,
t27,补习班的作业每天会占据你多少时间,C,1-2小时,1-2小时,
t27,补习班的作业每天会占据你多少时间,D,超过2小时,超过2小时,
t28,可以接受的负担时间,A,1小时---1.5小时,1小时至 CR 1.5小时,
t28,可以接受的负担时间,B,2小时---2.5小时,2小时至 CR 2.5小时,
t28,可以接受的负担时间,C,3小时以下都可以接受,3小时以下 CR 都可以接受,
t28,可以接受的负担时间,D,3小时以上也不会觉得负担重,3小时以上 CR 也不会觉得负担重,
t29,负担原因,A,学校的家庭作业,学校的 CR 家庭作业,
t29,负担原因,B,课外班的学习,课外班 CR 的学习,
t29,负担原因,C,都没有负担,都没有负担,
t29,负担原因,D,加到一起才有负担,加到一起 CR 才有负担,
t30,参加了几项艺体方面的课外培训,A,没有参加,没有参加,
t30,参加了几项艺体方面的课外培训,B,一项,一项,
t30,参加了几项艺体方面的课外培训,C,两项,两项,
t30,参加了几项艺体方面的课外培训,D,超过两项,超过两项,
t31,每周共需要花多长时间进行艺体方面的练习,A,1.5小时以内,1.5小时以内,
t31,每周共需要花多长时间进行艺体方面的练习,B,2小时以内,2小时以内,
t31,每周共需要花多长时间进行艺体方面的练习,C,3小时以内,3小时以内,
t31,每周共需要花多长时间进行艺体方面的练习,D,3小时以上,3小时以上,
t32,喜欢艺体方面的培训吗,A,非常喜欢,非常喜欢,
t32,喜欢艺体方面的培训吗,B,有点喜欢,有点喜欢,
t32,喜欢艺体方面的培训吗,C,没有什么感觉,没有什么感觉,
t32,喜欢艺体方面的培训吗,D,不喜欢,不喜欢,
t33,压力大小,A,没有压力，感觉还比较轻松,没有压力， CR 感觉还比较轻松,
t33,压力大小,B,有一些压力，但还是喜欢学习,有一些压力， CR 但还是喜欢学习,
t33,压力大小,C,压力很大，但自己必须坚持,压力很大， CR 但自己必须坚持,
t33,压力大小,D,压力难以承受，想放弃学习,压力难以承受， CR 想放弃学习,
t34,压力来源,A,同学,同学,
t34,压力来源,B,父母,父母,
t34,压力来源,C,老师,老师,
t34,压力来源,D,自己,自己,
t35,父母支持,A,忙工作、忙家务,忙工作、忙家务,
t35,父母支持,B,陪伴学习,陪伴学习,
t35,父母支持,C,不在家,不在家,
t35,父母支持,D,玩手机、看电视、睡觉等休闲活动,玩手机、看电视、 CR 睡觉等休闲活动,
t36,考试的难度与上课内容、作业难度的关系,A,考试比课堂内容和家庭作业灵活一点,考试比课堂内容 CR 和家庭作业灵活一点,
t36,考试的难度与上课内容、作业难度的关系,B,考试比平时作业简单,考试比 CR 平时作业简单,
t36,考试的难度与上课内容、作业难度的关系,C,不在外面补习，根本做不来考试题,不在外面补习， CR 根本做不来考试题,
t36,考试的难度与上课内容、作业难度的关系,D,试的内容在课堂上家庭作业里都练过了,考试的内容 CR 在课堂上家庭作业里都练过,
t37,能将自己作为学习的主人，自主地进行学习,A,非常不符合,非常不符合,
t37,能将自己作为学习的主人，自主地进行学习,B,不符合,不符合,
t37,能将自己作为学习的主人，自主地进行学习,C,有点符合,有点符合,
t37,能将自己作为学习的主人，自主地进行学习,D,符合,符合,
t37,能将自己作为学习的主人，自主地进行学习,E,非常符合,非常符合,
t38,我对知识抱有强烈的好奇心、求知欲和探究欲,A,非常不符合,非常不符合,
t38,我对知识抱有强烈的好奇心、求知欲和探究欲,B,不符合,不符合,
t38,我对知识抱有强烈的好奇心、求知欲和探究欲,C,有点符合,有点符合,
t38,我对知识抱有强烈的好奇心、求知欲和探究欲,D,符合,符合,
t38,我对知识抱有强烈的好奇心、求知欲和探究欲,E,非常符合,非常符合,
t39,我能有意识地梳理知识的基本结构,A,非常不符合,非常不符合,
t39,我能有意识地梳理知识的基本结构,B,不符合,不符合,
t39,我能有意识地梳理知识的基本结构,C,有点符合,有点符合,
t39,我能有意识地梳理知识的基本结构,D,符合,符合,
t39,我能有意识地梳理知识的基本结构,E,非常符合,非常符合,
t40,能自觉地将书本上的知识与我实际的生活体验相结合,A,非常不符合,非常不符合,
t40,能自觉地将书本上的知识与我实际的生活体验相结合,B,不符合,不符合,
t40,能自觉地将书本上的知识与我实际的生活体验相结合,C,有点符合,有点符合,
t40,能自觉地将书本上的知识与我实际的生活体验相结合,D,符合,符合,
t40,能自觉地将书本上的知识与我实际的生活体验相结合,E,非常符合,非常符合,
t41,能联系不同单元或不同学科的知识来解决问题,A,非常不符合,非常不符合,
t41,能联系不同单元或不同学科的知识来解决问题,B,不符合,不符合,
t41,能联系不同单元或不同学科的知识来解决问题,C,有点符合,有点符合,
t41,能联系不同单元或不同学科的知识来解决问题,D,符合,符合,
t41,能联系不同单元或不同学科的知识来解决问题,E,非常符合,非常符合,
t42,能将已经学过的知识与新知识进行对比、分析,A,非常不符合,非常不符合,
t42,能将已经学过的知识与新知识进行对比、分析,B,不符合,不符合,
t42,能将已经学过的知识与新知识进行对比、分析,C,有点符合,有点符合,
t42,能将已经学过的知识与新知识进行对比、分析,D,符合,符合,
t42,能将已经学过的知识与新知识进行对比、分析,E,非常符合,非常符合,
t43,对自己的学习进行评价和反思,A,非常不符合,非常不符合,
t43,对自己的学习进行评价和反思,B,不符合,不符合,
t43,对自己的学习进行评价和反思,C,有点符合,有点符合,
t43,对自己的学习进行评价和反思,D,符合,符合,
t43,对自己的学习进行评价和反思,E,非常符合,非常符合,
t44,能将自己的想法与所学知识融合，并提出与他人不同的解决方法,A,非常不符合,非常不符合,
t44,能将自己的想法与所学知识融合，并提出与他人不同的解决方法,B,不符合,不符合,
t44,能将自己的想法与所学知识融合，并提出与他人不同的解决方法,C,有点符合,有点符合,
t44,能将自己的想法与所学知识融合，并提出与他人不同的解决方法,D,符合,符合,
t44,能将自己的想法与所学知识融合，并提出与他人不同的解决方法,E,非常符合,非常符合,
t45,能结合已学知识来解决生活中的实际问题,A,非常不符合,非常不符合,
t45,能结合已学知识来解决生活中的实际问题,B,不符合,不符合,
t45,能结合已学知识来解决生活中的实际问题,C,有点符合,有点符合,
t45,能结合已学知识来解决生活中的实际问题,D,符合,符合,
t45,能结合已学知识来解决生活中的实际问题,E,非常符合,非常符合,
