index,name,option,ss,ssn
t17,放学回家做作业的时间,A,1.5小时以内,1.5小时以内
t17,放学回家做作业的时间,B,1.2小时至2小时,1.2小时至2小时
t17,放学回家做作业的时间,C,2小时至3小时,2小时至3小时
t17,放学回家做作业的时间,D,3小时以上,3小时以上
t18,集体补课或上新课吗,A,经常,经常
t18,集体补课或上新课吗,B,偶尔有过,偶尔有过
t18,集体补课或上新课吗,C,从来没有,从来没有
t19,语、数、英三科中按照最喜欢的科目,A,语、数、英,语、数、英
t19,语、数、英三科中按照最喜欢的科目,B,语、英、数,语、英、数
t19,语、数、英三科中按照最喜欢的科目,C,数、语、英,数、语、英
t19,语、数、英三科中按照最喜欢的科目,D,数、英、语,数、英、语
t19,语、数、英三科中按照最喜欢的科目,E,英、数、语,英、数、语
t19,语、数、英三科中按照最喜欢的科目,F,英、语、数,英、语、数
t20,完成作业时习惯,A,专心致志的一鼓作气做完,专心致志的 CR 一鼓作气做完
t20,完成作业时习惯,B,边做边玩（容易分心）,边做边玩 CR （容易分心）
t20,完成作业时习惯,C,做完一项，休整一会儿,做完一项 CR 休整一会儿
t20,完成作业时习惯,D,必须由家长监督才能做作业,必须由家长监督 CR 才能做作业
t21,完成作业效率,A,快很多，正确率差别不大,快很多， CR 正确率差别不大
t21,完成作业效率,B,慢很多，正确率差别不大,慢很多， CR 正确率差别不大
t21,完成作业效率,C,时间、正确率都差不多(10分钟左右的差别),时间、正确率 CR 都差不多
t21,完成作业效率,D,慢很多，正确率也不高,慢很多， CR 正确率也不高
t22,期末作业比平时多了多少时间,A,1小时以内,1小时以内
t22,期末作业比平时多了多少时间,B,1.5小时至2小时,1.5小时至2小时
t22,期末作业比平时多了多少时间,C,2.5小时至3小时,2.5小时至3小时
t22,期末作业比平时多了多少时间,D,3小时以上,3小时以上
t23,喜欢的学科，放学后，你愿意花多长时间进行学习,A,30分钟,30分钟
t23,喜欢的学科，放学后，你愿意花多长时间进行学习,B,1小时,1小时
t23,喜欢的学科，放学后，你愿意花多长时间进行学习,C,1个半小时,1.5小时
t23,喜欢的学科，放学后，你愿意花多长时间进行学习,D,2个小时,2小时
t24,不喜欢的学科，放学后，你能坚持多长时间,A,30分钟,30分钟
t24,不喜欢的学科，放学后，你能坚持多长时间,B,1小时,1小时
t24,不喜欢的学科，放学后，你能坚持多长时间,C,1个半小时,1.5小时
t24,不喜欢的学科，放学后，你能坚持多长时间,D,一分钟都不愿,一分钟都不愿
t25,参加了几门文化课补习,A,没有参加,没有参加
t25,参加了几门文化课补习,B,一门,一门
t25,参加了几门文化课补习,C,两门,两门
t25,参加了几门文化课补习,D,三门,三门
t25,参加了几门文化课补习,E,三门以上,三门以上
t26,一周平均参加校外文化课补习的时间,A,0-1小时,0-1小时
t26,一周平均参加校外文化课补习的时间,B,1.5-3,1.5-3
t26,一周平均参加校外文化课补习的时间,C,3-5小时,3-5小时
t26,一周平均参加校外文化课补习的时间,D,5小时以上,5小时以上
t27,参加课外补习的原因,A,成绩不太好或者巩固课内知识,成绩不太好或 CR 巩固课内知识
t27,参加课外补习的原因,B,扩展知识，拓展能力,扩展知识， CR 拓展能力
t27,参加课外补习的原因,C,为考私立学校做准备,为考私立学校 CR 做准备
t27,参加课外补习的原因,D,超前学习,超前学习
t28,参加课外文化课补习班，你感到,A,非常反感,非常反感
t28,参加课外文化课补习班，你感到,B,没有特别的感觉,没有特别 CR 的感觉
t28,参加课外文化课补习班，你感到,C,很有趣，很喜欢,很有趣， CR 很喜欢
t28,参加课外文化课补习班，你感到,D,有收获感、满足感,有收获感、满足感
t29,补习班的作业一周会占据你多少时间,A,没有作业,没有作业
t29,补习班的作业一周会占据你多少时间,B,0.5--1小时,0.5--1小时
t29,补习班的作业一周会占据你多少时间,C,1-2小时,1-2小时
t29,补习班的作业一周会占据你多少时间,D,超过2小时,超过2小时
t30,可以接受的负担时间,A,1小时--2小时,1小时--2小时
t30,可以接受的负担时间,B,2.5小时-3小时,2.5小时-3小时
t30,可以接受的负担时间,C,4小时以下都可以接受,4小时以下都可以接受
t30,可以接受的负担时间,D,4小时以上也不会觉得负担重,4小时以上也不会觉得负担重
t31,负担原因,A,学校的家庭作业,学校的 CR 家庭作业
t31,负担原因,B,课外班的学习,课外班 CR 的学习
t31,负担原因,C,都没有负担,都没有负担
t31,负担原因,D,加到一起才有负担,加到一起 CR 才有负担
t32,参加了几项艺体方面的课外培训,A,没有参加,没有参加
t32,参加了几项艺体方面的课外培训,B,一项,一项
t32,参加了几项艺体方面的课外培训,C,两项,两项
t32,参加了几项艺体方面的课外培训,D,超过两项,超过两项
t33,每周共需要花多长时间进行艺体方面的练习,A,1.5小时以内,1.5小时以内
t33,每周共需要花多长时间进行艺体方面的练习,B,2小时以内,2小时以内
t33,每周共需要花多长时间进行艺体方面的练习,C,3小时以内,3小时以内
t33,每周共需要花多长时间进行艺体方面的练习,D,3小时以上,3小时以上
t34,喜欢艺体方面的培训吗,A,非常喜欢,非常喜欢
t34,喜欢艺体方面的培训吗,B,有点喜欢,有点喜欢
t34,喜欢艺体方面的培训吗,C,没有什么感觉,没有什么感觉
t34,喜欢艺体方面的培训吗,D,不喜欢,不喜欢
t35,压力大小,A,0,0
t35,压力大小,B,1,1
t35,压力大小,C,2,2
t35,压力大小,D,3,3
t35,压力大小,E,4,4
t35,压力大小,F,5,5
t35,压力大小,G,6,6
t35,压力大小,H,7,7
t35,压力大小,I,8,8
t35,压力大小,J,9,9
t35,压力大小,K,10,10
t36,压力来源,A,同学,同学
t36,压力来源,B,父母,父母
t36,压力来源,C,老师,老师
t36,压力来源,D,自己,自己
t37,父母支持,A,忙工作、忙家务,忙工作、忙家务
t37,父母支持,B,陪伴学习,陪伴学习
t37,父母支持,C,不在家,不在家
t37,父母支持,D,玩手机、看电视、睡觉等休闲活动,玩手机、看电视、 CR 睡觉等休闲活动
t38,考试的难度与上课内容、作业难度的关系,A,考试比课堂内容和家庭作业灵活一点,考试比课堂内容 CR 和家庭作业灵活一点
t38,考试的难度与上课内容、作业难度的关系,B,考试比平时作业简单,考试比 CR 平时作业简单
t38,考试的难度与上课内容、作业难度的关系,C,不在外面补习，根本做不来考试题,不在外面补习， CR 根本做不来考试题
t38,考试的难度与上课内容、作业难度的关系,D,试的内容在课堂上家庭作业里都练过了,考试的内容 CR 在课堂上家庭作业里都练过
t39,能将自己作为学习的主人，自主地进行学习,A,非常不符合,非常不符合
t39,能将自己作为学习的主人，自主地进行学习,B,不符合,不符合
t39,能将自己作为学习的主人，自主地进行学习,C,有点符合,有点符合
t39,能将自己作为学习的主人，自主地进行学习,D,符合,符合
t39,能将自己作为学习的主人，自主地进行学习,E,非常符合,非常符合
t40,积极主动地参与课堂学习,A,非常不符合,非常不符合
t40,积极主动地参与课堂学习,B,不符合,不符合
t40,积极主动地参与课堂学习,C,有点符合,有点符合
t40,积极主动地参与课堂学习,D,符合,符合
t40,积极主动地参与课堂学习,E,非常符合,非常符合
t41,我对知识抱有强烈的好奇心、求知欲和探究欲,A,非常不符合,非常不符合
t41,我对知识抱有强烈的好奇心、求知欲和探究欲,B,不符合,不符合
t41,我对知识抱有强烈的好奇心、求知欲和探究欲,C,有点符合,有点符合
t41,我对知识抱有强烈的好奇心、求知欲和探究欲,D,符合,符合
t41,我对知识抱有强烈的好奇心、求知欲和探究欲,E,非常符合,非常符合
t42,琢磨和领会具有本质性和规律性的东西,A,非常不符合,非常不符合
t42,琢磨和领会具有本质性和规律性的东西,B,不符合,不符合
t42,琢磨和领会具有本质性和规律性的东西,C,有点符合,有点符合
t42,琢磨和领会具有本质性和规律性的东西,D,符合,符合
t42,琢磨和领会具有本质性和规律性的东西,E,非常符合,非常符合
t43,我能有意识地梳理知识的基本结构,A,非常不符合,非常不符合
t43,我能有意识地梳理知识的基本结构,B,不符合,不符合
t43,我能有意识地梳理知识的基本结构,C,有点符合,有点符合
t43,我能有意识地梳理知识的基本结构,D,符合,符合
t43,我能有意识地梳理知识的基本结构,E,非常符合,非常符合
t44,清楚地知道所学知识在实际生活中的作用与价值,A,非常不符合,非常不符合
t44,清楚地知道所学知识在实际生活中的作用与价值,B,不符合,不符合
t44,清楚地知道所学知识在实际生活中的作用与价值,C,有点符合,有点符合
t44,清楚地知道所学知识在实际生活中的作用与价值,D,符合,符合
t44,清楚地知道所学知识在实际生活中的作用与价值,E,非常符合,非常符合
t45,能自觉地将书本上的知识与我实际的生活体验相结合,A,非常不符合,非常不符合
t45,能自觉地将书本上的知识与我实际的生活体验相结合,B,不符合,不符合
t45,能自觉地将书本上的知识与我实际的生活体验相结合,C,有点符合,有点符合
t45,能自觉地将书本上的知识与我实际的生活体验相结合,D,符合,符合
t45,能自觉地将书本上的知识与我实际的生活体验相结合,E,非常符合,非常符合
t46,调用多种感觉器官对知识进行理解,A,非常不符合,非常不符合
t46,调用多种感觉器官对知识进行理解,B,不符合,不符合
t46,调用多种感觉器官对知识进行理解,C,有点符合,有点符合
t46,调用多种感觉器官对知识进行理解,D,符合,符合
t46,调用多种感觉器官对知识进行理解,E,非常符合,非常符合
t47,将自己的生活经历、情感体验融入到知识的学习中,A,非常不符合,非常不符合
t47,将自己的生活经历、情感体验融入到知识的学习中,B,不符合,不符合
t47,将自己的生活经历、情感体验融入到知识的学习中,C,有点符合,有点符合
t47,将自己的生活经历、情感体验融入到知识的学习中,D,符合,符合
t47,将自己的生活经历、情感体验融入到知识的学习中,E,非常符合,非常符合
t48,能联系不同单元或不同学科的知识来解决问题,A,非常不符合,非常不符合
t48,能联系不同单元或不同学科的知识来解决问题,B,不符合,不符合
t48,能联系不同单元或不同学科的知识来解决问题,C,有点符合,有点符合
t48,能联系不同单元或不同学科的知识来解决问题,D,符合,符合
t48,能联系不同单元或不同学科的知识来解决问题,E,非常符合,非常符合
t49,能将已经学过的知识与新知识进行对比、分析,A,非常不符合,非常不符合
t49,能将已经学过的知识与新知识进行对比、分析,B,不符合,不符合
t49,能将已经学过的知识与新知识进行对比、分析,C,有点符合,有点符合
t49,能将已经学过的知识与新知识进行对比、分析,D,符合,符合
t49,能将已经学过的知识与新知识进行对比、分析,E,非常符合,非常符合
t50,对自己的学习进行评价和反思,A,非常不符合,非常不符合
t50,对自己的学习进行评价和反思,B,不符合,不符合
t50,对自己的学习进行评价和反思,C,有点符合,有点符合
t50,对自己的学习进行评价和反思,D,符合,符合
t50,对自己的学习进行评价和反思,E,非常符合,非常符合
t51,能将自己的想法与所学知识融合，并提出与他人不同的解决方法,A,非常不符合,非常不符合
t51,能将自己的想法与所学知识融合，并提出与他人不同的解决方法,B,不符合,不符合
t51,能将自己的想法与所学知识融合，并提出与他人不同的解决方法,C,有点符合,有点符合
t51,能将自己的想法与所学知识融合，并提出与他人不同的解决方法,D,符合,符合
t51,能将自己的想法与所学知识融合，并提出与他人不同的解决方法,E,非常符合,非常符合
t52,能结合已学知识来解决生活中的实际问题,A,非常不符合,非常不符合
t52,能结合已学知识来解决生活中的实际问题,B,不符合,不符合
t52,能结合已学知识来解决生活中的实际问题,C,有点符合,有点符合
t52,能结合已学知识来解决生活中的实际问题,D,符合,符合
t52,能结合已学知识来解决生活中的实际问题,E,非常符合,非常符合
t53,能利用已学知识来分析解决相关习题,A,非常不符合,非常不符合
t53,能利用已学知识来分析解决相关习题,B,不符合,不符合
t53,能利用已学知识来分析解决相关习题,C,有点符合,有点符合
t53,能利用已学知识来分析解决相关习题,D,符合,符合
t53,能利用已学知识来分析解决相关习题,E,非常符合,非常符合
